scenario,strategy,mean_formation_error,min_agent_distance,min_obstacle_clearance,energy,path_length,max_height,modes_used,last_mode,n_steps
free,adaptive,0.3914,0.8037,1000000000.0,192.85,65.22,1.2,"column,compressed,normal",column,510
single,adaptive,0.4113,0.8037,0.636,319.3,106.72,1.2,"column,normal",column,771
wide_barrier,adaptive,0.462,0.8037,0.5954,548.96,125.8,1.2,"column,compressed,normal",column,896
dense_field,adaptive,0.6209,0.8037,0.5957,417.69,113.0,1.2,"column,compressed,normal",column,786
low_wall_overflight,adaptive,0.4634,0.8037,0.0305,237.78,71.07,1.419,"column,compressed,normal,overflight",column,511
tall_wall_side,adaptive,0.521,0.6446,0.6605,590.7,129.89,1.2,"column,compressed,normal",column,933
checkerboard_equal,adaptive,0.5013,0.6574,0.6529,368.64,109.51,1.2,"column,normal",column,762
checkerboard_unequal,adaptive,0.5061,0.7696,0.4683,344.49,110.53,1.2,"column,normal",column,762
vertical_exit,adaptive,0.4632,0.8037,0.0681,238.84,70.93,1.388,"column,compressed,normal,overflight",column,511
defense_showcase,adaptive,0.5986,0.8037,0.1773,357.63,77.97,1.43,"column,compressed,normal,overflight",column,510
