Сценарий,Ср. ошибка формации,Мин. дист. пары,Мин. зазор,Итог. энергия,Итог. длина пути,Посл. режим
free,0.3914,0.8037,1000000000.0,192.85,65.22,column
single,0.4113,0.8037,0.636,319.3,106.72,column
wide_barrier,0.462,0.8037,0.5954,548.96,125.8,column
dense_field,0.6209,0.8037,0.5957,417.69,113.0,column
low_wall_overflight,0.4634,0.8037,0.0305,237.78,71.07,column
tall_wall_side,0.521,0.6446,0.6605,590.7,129.89,column
checkerboard_equal,0.5013,0.6574,0.6529,368.64,109.51,column
checkerboard_unequal,0.5061,0.7696,0.4683,344.49,110.53,column
vertical_exit,0.4632,0.8037,0.0681,238.84,70.93,column
defense_showcase,0.5986,0.8037,0.1773,357.63,77.97,column
